kappa_A,sigma_A,kappa_B,sigma_B,f_B,kappa_mix,sigma_mix,sigma_mixing_rule,S_max,Nd,total_act_frac,activated
0.61,0.07457325,0.5,0.05750000000000001,0.6000000000000001,0.544,0.0643293,linear_approximation,0.002496947155925737,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.07,0.6000000000000001,0.544,0.0718293,linear_approximation,0.002635592700296519,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.02,0.7000000000000001,0.253,0.036371974999999994,linear_approximation,0.0022375029172957287,434606558.70137393,0.43357523913440005,True
0.61,0.07457325,0.1,0.0325,0.7000000000000001,0.253,0.045121974999999995,linear_approximation,0.002447472798957625,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.1,0.045,0.7000000000000001,0.253,0.05387197499999999,linear_approximation,0.002650516559523888,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.1,0.05750000000000001,0.7000000000000001,0.253,0.062621975,linear_approximation,0.002847475873046597,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.1,0.07,0.7000000000000001,0.253,0.071371975,linear_approximation,0.0030388519461912885,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.02,0.7000000000000001,0.32299999999999995,0.036371974999999994,linear_approximation,0.0021474200392563847,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.2,0.0325,0.7000000000000001,0.32299999999999995,0.045121974999999995,linear_approximation,0.002346500809000696,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.2,0.045,0.7000000000000001,0.32299999999999995,0.05387197499999999,linear_approximation,0.0025391106819926336,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.2,0.05750000000000001,0.7000000000000001,0.32299999999999995,0.062621975,linear_approximation,0.0027258764385294206,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.07,0.7000000000000001,0.32299999999999995,0.071371975,linear_approximation,0.002907409500312326,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.30000000000000004,0.02,0.7000000000000001,0.393,0.036371974999999994,linear_approximation,0.0020743593201455134,503257708.30240583,0.502063479841258,True
